Code,Name,Market,Marcap,corp_code,EPS,EPS_diluted,revenue,gross_profit,op_income,net_income,total_assets,current_assets,current_liab,total_liab,equity,data_year,fs_div,Sector
000120,CJ대한통운,KOSPI,2596044747200,113410,12088.0,,12116761147160.0,1386661508536.0,530663067133.0,268320297629.0,9743855522383.0,2783266786865.0,2996783656303.0,5518255667581.0,4225599854802.0,2024.0,CFS,운송/물류
017960,한국카본,KOSPI,2585040909600,159795,413.0,413.0,741740847191.0,117582507015.0,45446301892.0,20321351760.0,878968656770.0,460860282424.0,369168308880.0,878968656770.0,474286350797.0,2024.0,CFS,에너지/화학
204320,HL만도,KOSPI,2530988768000,1042775,2767.0,,8848181871751.0,1323249482554.0,358760766831.0,158249191839.0,7052043027166.0,3676853130994.0,2900489614702.0,4379288260980.0,2672754766186.0,2024.0,CFS,자동차/부품
004800,효성,KOSPI,2516083172100,117188,7510.0,,2272756398560.0,519612464605.0,221133379310.0,484258153404.0,4340864429768.0,1021710482736.0,1351828011529.0,4340864429768.0,2504438694987.0,2024.0,CFS,소재/철강
030000,제일기획,KOSPI,2450378092500,148276,2049.0,2049.0,,,320720587990.0,208342984365.0,3306550192963.0,2723977664902.0,1564856744000.0,3306550192963.0,1474033393149.0,2024.0,CFS,엔터/미디어
005440,현대지에프홀딩스,KOSPI,2436784224630,105280,4483.0,,7409277127000.0,2109219238000.0,198099994000.0,791959780000.0,,3874977499000.0,2024324094000.0,,,2024.0,CFS,지주
018670,SK가스,KOSPI,2403763440000,144164,19926.0,19841.0,7095902060317.0,607792768526.0,287176575159.0,177768044603.0,7539621970135.0,2608910830555.0,2021018622987.0,4801285742388.0,2738336227747.0,2024.0,CFS,에너지/화학
383220,F&F,KOSPI,2401853602500,1568413,9504.0,,,1246992536124.0,450737459737.0,355959818501.0,2285904738684.0,636793849985.0,522109298846.0,2285904738684.0,1577298222080.0,2024.0,CFS,유통/소비재
001430,세아베스틸지주,KOSPI,2374072277800,106669,564.0,564.0,3636063257694.0,258024229486.0,52332166350.0,20273054942.0,3826646864046.0,1712680355639.0,1137233323820.0,1795239994311.0,2031406869735.0,2024.0,CFS,지주
081660,미스토홀딩스,KOSPI,2365241472000,195229,1417.0,1417.0,,2237830441572.0,360803535166.0,207722009422.0,5536390124625.0,2462449282236.0,1233701673828.0,2800091219487.0,5536390124625.0,2024.0,CFS,지주
007340,DN오토모티브,KOSPI,2325806883750,116949,6222.0,,3434542268000.0,896748518000.0,522916807000.0,318229010000.0,5006031529000.0,1964801236000.0,1334190771000.0,5006031529000.0,2170771614000.0,2024.0,CFS,자동차/부품
004370,농심,KOSPI,2314445281000,108241,27202.0,26747.0,3937893872782.0,965542188520.0,163073931930.0,157630314203.0,3597461570702.0,1743739590775.0,678174791731.0,924886441245.0,2672575129457.0,2024.0,CFS,유통/소비재
023590,다우기술,KOSPI,2283710805300,176914,8246.0,7756.0,11625798455732.0,1932353644384.0,1174681942719.0,852762689452.0,57147924043319.0,47687656704946.0,47941097923479.0,50855367307244.0,6292556736075.0,2024.0,CFS,IT/전자
192820,코스맥스,KOSPI,2225638714900,1009789,7562.0,,2166089636742.0,418207304227.0,175395279105.0,88417411666.0,1933713489313.0,940910911301.0,1114158039590.0,1424903002848.0,508810486465.0,2024.0,CFS,유통/소비재
002790,아모레퍼시픽홀딩스,KOSPI,2156120676000,154462,2786.0,2786.0,4259886701995.0,3059399831769.0,249277525878.0,652873028811.0,8540521424208.0,2583268440605.0,1138099827158.0,1548821316419.0,6991700107789.0,2024.0,CFS,유통/소비재
475150,SK이터닉스,KOSPI,2021867115800,1817081,677.0,671.0,332151737229.0,56469483067.0,37637399717.0,22380995585.0,731694676657.0,255027256240.0,297066304665.0,731694676657.0,241972753239.0,2024.0,CFS,에너지/화학
000500,가온전선,KOSPI,1894186667500,104768,3270.0,3270.0,1727103680000.0,116630037000.0,45011778000.0,25355195000.0,1042884426000.0,654804752000.0,518334366000.0,1042884426000.0,453705043000.0,2024.0,CFS,소재/철강
361610,SK아이이테크놀로지,KOSPI,1815673620000,1386916,-3460.0,,217864619000.0,-161870127000.0,-290994179000.0,-246615236000.0,4150138152000.0,549927364000.0,927962757000.0,1825581137000.0,2324557015000.0,2024.0,CFS,IT/전자
161890,한국콜마,KOSPI,1810509405900,939331,3830.0,3830.0,2452063980463.0,698925522349.0,193850424348.0,125324615188.0,3126693019808.0,858706005147.0,1215031627082.0,3126693019808.0,1505731966547.0,2024.0,CFS,유통/소비재
073240,금호타이어,KOSPI,1792504190880,481454,1131.0,1131.0,4532177923979.0,1382249445688.0,588591711860.0,351617959521.0,5362836776663.0,2335000622135.0,2258019237755.0,5362836776663.0,1904822013747.0,2024.0,CFS,자동차/부품
462870,시프트업,KOSPI,1790174719000,1384787,2734.0,2659.0,,,152676273166.0,147973272692.0,803831909889.0,768171881980.0,28585967115.0,803831909889.0,764404135605.0,2024.0,OFS,엔터/미디어
006280,녹십자,KOSPI,1716752432200,129679,-2303.0,-2303.0,1679891941477.0,481932280494.0,32107347889.0,,,1201833945085.0,769474794987.0,,,2024.0,CFS,바이오/제약
