Code,Name,Market,Marcap,corp_code,stock_code
319400,현대무벡스,KOSDAQ,3302299556350,01358463,319400
145020,휴젤,KOSDAQ GLOBAL,3285176811000,00888347,145020
043260,성호전자,KOSDAQ,3191527035000,00317210,043260
237690,에스티팜,KOSDAQ GLOBAL,3137747626000,00871833,237690
476830,알지노믹스,KOSDAQ,2988809109000,01596920,476830
084370,유진테크,KOSDAQ,2965335834800,00531014,084370
440110,파두,KOSDAQ,2960623790400,01292291,440110
064760,티씨케이,KOSDAQ GLOBAL,2828392248000,00245472,064760
178320,서진시스템,KOSDAQ,2818956960000,00838005,178320
140410,메지온,KOSDAQ,2782914897200,00808022,140410
475830,오름테라퓨틱,KOSDAQ,2681648078400,01658831,475830
068760,셀트리온제약,KOSDAQ,2677817062600,00541349,068760
058610,에스피지,KOSDAQ,2672371880000,00220686,058610
263750,펄어비스,KOSDAQ GLOBAL,2666285982500,01152470,263750
030530,원익홀딩스,KOSDAQ,2653124647350,00216647,030530
005290,동진쎄미켐,KOSDAQ,2560441801200,00118804,005290
319660,피에스케이,KOSDAQ GLOBAL,2502724089600,01365825,319660
031980,피에스케이홀딩스,KOSDAQ,2402050803000,00208444,031980
257720,실리콘투,KOSDAQ,2355118458000,00982023,257720
035900,JYP Ent.,KOSDAQ GLOBAL,2352250970400,00258689,035900
222800,심텍,KOSDAQ GLOBAL,2333888625000,01095722,222800
458870,씨어스테크놀로지,KOSDAQ,2320375482000,01514227,458870
067310,하나마이크론,KOSDAQ,2308384328500,00445054,067310
041510,에스엠,KOSDAQ GLOBAL,2248258558000,00260930,041510
089030,테크윙,KOSDAQ,2149111410000,00535676,089030
218410,RFHIC,KOSDAQ,2148173457800,01078178,218410
039200,오스코텍,KOSDAQ,2142457856000,00263654,039200
323280,태성,KOSDAQ,2125443408000,01366000,323280
347700,스피어,KOSDAQ,2111596949000,01336762,347700
445680,큐리옥스바이오시스템즈,KOSDAQ,2083483676100,01498974,445680
376900,로킷헬스케어,KOSDAQ,2052331565600,01335143,376900
491000,리브스메드,KOSDAQ,2033701366500,01385005,491000
098460,고영,KOSDAQ,1994420632750,00579999,098460
003380,하림지주,KOSDAQ GLOBAL,1982499491700,00148364,003380
131970,두산테스나,KOSDAQ GLOBAL,1979109171200,00563545,131970
078600,대주전자재료,KOSDAQ,1953650836600,00177816,078600
099320,쎄트렉아이,KOSDAQ,1928520055800,00449254,099320
140860,파크시스템스,KOSDAQ GLOBAL,1910333061000,00244747,140860
290650,엘앤씨바이오,KOSDAQ,1880922669100,01181515,290650
038500,삼표시멘트,KOSDAQ,1874506235220,00239639,038500
101490,에스앤에스텍,KOSDAQ,1821998666600,00411048,101490
437730,삼현,KOSDAQ,1759769968500,00262266,437730
085660,차바이오텍,KOSDAQ,1751468815250,00525679,085660
065350,신성델타테크,KOSDAQ,1747979092800,00136226,065350
232140,와이씨,KOSDAQ,1735259152500,01109539,232140
417200,LS머트리얼즈,KOSDAQ,1711612272700,01528141,417200
090710,휴림로봇,KOSDAQ,1674789901940,00540429,090710
115180,큐리언트,KOSDAQ,1674049790650,01042650,115180
082270,젬백스,KOSDAQ,1670215037400,00492894,082270
060370,LS마린솔루션,KOSDAQ,1650747786400,00225742,060370
160190,하이젠알앤엠,KOSDAQ,1609264800000,00650771,160190
174900,앱클론,KOSDAQ,1560167433000,00991191,174900
493280,아이엠바이오로직스,KOSDAQ,1536715440000,01859500,493280
080220,제주반도체,KOSDAQ,1525817501900,00447487,080220
397030,에이프릴바이오,KOSDAQ,1505599377000,01375822,397030
195940,HK이노엔,KOSDAQ GLOBAL,1475987321100,01012066,195940
456160,지투지바이오,KOSDAQ,1475846022800,01577952,456160
388210,씨엠티엑스,KOSDAQ,1438658625600,01529982,388210
124500,아이티센글로벌,KOSDAQ,1427078410500,00620868,124500
466100,클로봇,KOSDAQ,1427051136900,01784914,466100
048410,현대바이오,KOSDAQ,1418631908400,00313649,048410
127120,제이에스링크,KOSDAQ,1371588302400,00642541,127120
082920,비츠로셀,KOSDAQ,1366985231550,00154718,082920
035760,CJ ENM,KOSDAQ GLOBAL,1363993378800,00265324,035760
032500,케이엠더블유,KOSDAQ,1360553969450,00226352,032500
131290,티에스이,KOSDAQ,1347282052200,00372226,131290
281740,레이크머티리얼즈,KOSDAQ,1313296349040,01255652,281740
189300,인텔리안테크,KOSDAQ,1304605885500,00664181,189300
095610,테스,KOSDAQ,1273888000000,00524421,095610
183300,코미코,KOSDAQ GLOBAL,1258420285200,00997812,183300
293490,카카오게임즈,KOSDAQ GLOBAL,1238161502690,01137383,293490
166090,하나머티리얼즈,KOSDAQ GLOBAL,1226215788000,00660750,166090
253450,스튜디오드래곤,KOSDAQ GLOBAL,1200836995100,01168684,253450
